Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: Si2H6(4)=SiH4(1)+SiH2(2),dln[SiH2(2)]/dln[k3]: Si2H6(4)=H2(3)+SiH3SiH(5),dln[SiH2(2)]/dln[k5]: SiH2(2)+SiH2(2)=H4Si2(7),dln[SiH2(2)]/dln[k12]: H3Si(8)+H3Si(8)=Si2H6(4),dln[SiH2(2)]/dln[k23]: H2(3)+H3Si2(12)=H5Si2(11),dln[SiH2(2)]/dln[k30]: Si2H6(4)+HSi(10)=H7Si3(31),dln[SiH2(2)]/dln[k33]: SiH4(1)+H3Si2(12)=H7Si3(31),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si2H6(4)],dln[SiH2(2)]/dG[H3Si(8)],dln[SiH2(2)]/dG[HSi(10)],dln[SiH2(2)]/dG[H3Si2(12)]
1e-15,0.99999999999999556,-6.7962621883132167e-10,-1.5564963943756862e-34,-2.9183650524769667e-23,-3.212917238973135e-38,-5.6902183073170426e-49,4.3470130764880465e-60,8.5178200156550315e-57,-3.7459014555173135e-10,-3.7459014555970077e-10,-3.1511141902706457e-26,3.745901455517314e-10,-4.3589547698066051e-32,7.9692666841858699e-21,3.1362823372853403e-49
3.0000000000000002e-15,0.99999999999999079,-1.2945261307856357e-09,-7.3460249949087263e-34,-1.0746995105755689e-22,-1.5163656291490125e-37,-3.9062739607114927e-48,7.1220156968593977e-59,8.283196922221148e-56,-7.1350503896976772e-10,-7.1350503898494752e-10,-1.1604059978067094e-25,7.1350503896976783e-10,-1.3561395587501134e-31,1.5179555585191925e-20,2.1530242555001767e-48
7e-15,0.99999999999997835,-3.1954355491159715e-09,-1.2693504546559348e-32,-7.789133357216245e-22,-2.6201955141075007e-36,-1.8709844642670855e-46,9.8382197101870397e-57,1.1233311493069916e-53,-1.7612308564412314e-09,-1.7612308564787031e-09,-8.4102914085927403e-25,1.7612308564412323e-09,-8.6976484867215004e-31,3.7469534514353709e-20,1.0312320575915624e-46
1.5e-14,0.99999999999995393,-6.8489463600526897e-09,-1.1697506463847019e-31,-3.6905628984573513e-21,-2.4146070282542025e-35,-3.5046791895112928e-45,4.1780700491522409e-55,4.2465790509864311e-52,-3.774939434119787e-09,-3.7749394342001054e-09,-3.98486945323376e-24,3.7749394341197903e-09,-3.8985673487471065e-30,8.0310439088859357e-20,1.9316769340926457e-45
3.1e-14,0.99999999999990541,-1.4110334690897381e-08,-9.8780239715976513e-31,-1.5907690405608571e-20,-2.0390376688362462e-34,-5.9452595085632315e-44,1.5124650712802502e-53,1.4439823916733384e-50,-7.7772048507986651e-09,-7.7772048509641558e-09,-1.7176252240201041e-23,7.7772048507986816e-09,-1.6322368889303676e-29,1.6545715431024219e-19,3.2768536142704864e-44
6.300000000000001e-14,0.99999999999980815,-2.8614564998464808e-08,-8.0988476431533543e-30,-6.5952827548857433e-20,-1.671792648492886e-33,-9.7668469382649058e-43,5.1274977134321278e-52,4.7486564929967824e-49,-1.5771513475237709e-08,-1.5771513475573379e-08,-7.121223215740275e-23,1.5771513475237779e-08,-6.6671346623288034e-29,3.3553311105145948e-19,5.3832011353473395e-43
1.2700000000000001e-13,0.99999999999961353,-5.7614607994262713e-08,-6.5558616855844029e-29,-2.6850088709778235e-19,-1.3533090181852221e-32,-1.5826049147379812e-41,1.6850191148173162e-50,1.5395767272568796e-47,-3.1755491179631974e-08,-3.1755491180308132e-08,-2.8991244826388286e-22,3.1755491179632259e-08,-2.6938471278103705e-28,6.755863199793558e-19,8.7228566721806581e-42
2.55e-13,0.99999999999922395,-1.1561067504484161e-07,-5.2749705821592885e-28,-1.0834345094889562e-18,-1.0889382068324527e-31,-2.5479470896117912e-40,5.4462556427840873e-49,4.958308844040515e-46,-6.3721231472307156e-08,-6.3721231473665148e-08,-1.1698328170856155e-21,6.3721231472308334e-08,-1.0828397109084911e-27,1.3556456122075269e-18,1.4043541246602454e-40
5.11e-13,0.99999999999844547,-2.3160083287145001e-07,-4.2318030231832935e-27,-4.3526542709394048e-18,-8.7365617409644954e-31,-4.0892769786388002e-39,1.7404715260899163e-47,1.5916677908254033e-44,-1.2765162282051173e-07,-1.2765162282323682e-07,-4.6997563395042358e-21,1.2765162282051641e-07,-4.3415451216890043e-27,2.7157410241376543e-18,2.2538902319931604e-39
1e-12,0.97750245058537899,-4.4794872502253353e-07,-3.2470052295853146e-26,-1.6762286873673291e-17,-6.7044225836831584e-30,-6.26764605585615e-38,5.2521114913146267e-46,4.8755199828771041e-43,-2.4689626981581252e-07,-2.4689626982110134e-07,-1.8098997726891641e-20,2.4689626981583062e-07,-1.6700032056279955e-26,5.2526267525169968e-18,3.4545438266549877e-38
