Time (s),dln[SiH4(1)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH4(1)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH4(1)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH4(1)]/dG[SiH4(1)],dln[SiH4(1)]/dG[H2(3)],dln[SiH4(1)]/dG[Si(14)],dln[SiH4(1)]/dG[SiH3SiH(5)],dln[SiH4(1)]/dG[H2Si2(22)]
1e-15,-4.5482249959469276e-15,-1.0206050373009624e-31,-9.3726393987595037e-40,-5.2797864181902824e-25,1.2992018459753466e-19,1.2992016294471811e-19,2.1652816566581413e-26,5.1647623675249618e-40
3.0000000000000002e-15,-1.0613011318396717e-14,-7.2247520044319836e-31,-1.0053352556153987e-38,-2.2464964393124992e-24,5.2817037502617284e-19,5.2817028172031212e-19,9.3305860562421206e-26,5.5393011101455518e-39
7e-15,-2.8809958211413587e-14,-1.0829107075959197e-29,-4.0485801174226552e-37,-1.2799875204836523e-23,2.5524300800327553e-18,2.5524295439787226e-18,5.3605403173384589e-25,2.2294687966268524e-37
1.5e-14,-6.5210958206426255e-14,-8.8015583757056684e-29,-6.8383656150197376e-36,-4.8724642031119741e-23,7.5327616856291723e-18,7.5327596386127721e-18,2.0470163927212661e-24,3.7623355918745084e-36
3.1e-14,-1.3802588638966507e-13,-5.5608800665564301e-28,-8.8745968449548765e-35,-1.4752115360614882e-22,1.5303897740406779e-17,1.5303891533439245e-17,6.2069675110080179e-24,4.8739609613825029e-35
6.300000000000001e-14,-2.8367096430013211e-13,-2.9490449418837632e-27,-9.7168504036631766e-34,-3.7682473138814876e-22,2.2348050037659796e-17,2.2348034170287802e-17,1.5867371845097403e-23,5.3180925743656233e-34
1.2700000000000001e-13,-5.7497162737227246e-13,-1.3840711919408524e-26,-9.5325135106861337e-33,-8.5731020801788926e-22,2.5778327750409133e-17,2.5778291634083352e-17,3.6116324946390819e-23,5.1832689434339896e-33
2.55e-13,-1.1575769224996003e-12,-6.0254041904360838e-26,-8.8837215599685179e-32,-1.8265519828483505e-21,2.6631942121715724e-17,2.6631865144577294e-17,7.6977133306826417e-23,4.77509098713031e-32
5.11e-13,-2.3227882995195125e-12,-2.5165413226638943e-25,-8.3006319239382185e-31,-3.7667255183622975e-21,2.6736271263935262e-17,2.6736112441560874e-17,1.5882234012783653e-22,4.3818986881429541e-31
1e-12,-4.5485241702722719e-12,-9.9362725738494337e-25,-7.8156002902468199e-30,-7.4731263933543158e-21,2.6738944562680933e-17,2.6738629188758413e-17,3.1537368983658344e-22,4.0352238674636286e-30
1.023e-12,-4.6532111335180575e-12,-1.0285257888322098e-24,-8.1441633848288468e-30,-7.6474560868606851e-21,2.6739070300658759e-17,2.6738747563370979e-17,3.2273704575333741e-22,4.2044095156618516e-30
2.047e-12,-9.3140568056214392e-12,-4.1566686750492837e-24,-8.6597045047266647e-29,-1.5409794810147263e-20,2.6731833547136149e-17,2.6731182110532251e-17,6.514347969436575e-22,4.3970286614153792e-29
4.095e-12,-1.8635748149897519e-11,-1.6695839916238236e-23,-1.0028764126114478e-27,-3.0937944638783347e-20,2.6716969221291491e-17,2.6715656913249152e-17,1.3122941102466887e-21,5.1051819665705107e-28
8.191e-12,-3.7279130838301857e-11,-6.6793818101060446e-23,-1.2352947952253906e-26,-6.2008102446043683e-20,2.668723473692262e-17,2.6684586821618346e-17,2.6478062637302977e-21,6.4304905829092261e-27
1e-11,-4.5512988086154731e-11,-1.1083998499711173e-22,-4.3929611713364644e-26,-7.5742441734444604e-20,2.6674102496346272e-17,2.667085250199304e-17,3.2497206323465732e-21,2.3347884661924985e-26
1.6383e-11,-7.4565896214513346e-11,-2.6625550919921878e-22,-1.5534688356806273e-25,-1.2420362894456365e-19,2.6627765795641753e-17,2.6622391384169129e-17,5.3735566822349111e-21,8.3040381292794832e-26
3.2767e-11,-1.4913942696454482e-10,-1.0568265865378281e-21,-1.8930262018200485e-24,-2.4881404325040435e-19,2.650882873005739e-17,2.6497781146570109e-17,1.104097724688372e-20,1.0299067406864159e-24
6.5535e-11,-2.9828648845502632e-10,-4.1736234492822059e-21,-2.0887249677034858e-23,-4.9890379067654917e-19,2.6270963216099745e-17,2.6247691749094602e-17,2.3222446261263585e-20,1.1457000839553999e-23
9.999999999999999e-11,-4.5515762721801727e-10,-1.0609914747247414e-20,-1.1167114043754232e-22,-7.6375295909891239e-19,2.6020818189431e-17,2.5982842944637587e-17,3.7775877645908379e-20,6.1426026926187416e-23
1.31071e-10,-5.9658061139759407e-10,-1.6412381217012196e-20,-1.9351493180963635e-22,-1.002520651175727e-18,2.5795306623528735e-17,2.574407558069547e-17,5.0896134902175538e-20,1.0647426744376456e-22
2.62143e-10,-1.1931688571289306e-09,-6.4487866254517881e-20,-1.4296413390341723e-21,-2.0233841560939512e-18,2.4844485271550394e-17,2.4723213448004621e-17,1.1925354242017665e-19,7.8745867764454034e-22
5.24287e-10,-2.3863453479759886e-09,-2.5422649901578954e-19,-8.4522049138292895e-21,-4.1193980052619403e-18,2.2945353627220216e-17,2.2627202330225996e-17,3.0756521979148358e-19,4.6573559065615357e-21
9.999999999999999e-10,-4.5516040132224543e-09,-9.3742521212613343e-19,-3.904547581180052e-20,-8.1198325848252248e-18,1.950884638291983e-17,1.8626772699956175e-17,8.3612636412634759e-19,2.1518105490253411e-20
1.0485750000000002e-09,-4.7726983272071745e-09,-1.0071865544899671e-18,-4.2169351200742274e-20,-8.5283165010201296e-18,1.9157945022338313e-17,1.8218289289143439e-17,8.900976820227747e-19,2.32397546999525e-20
2.0971510000000003e-09,-9.545404275817557e-09,-4.0065359941561635e-18,-1.894068298516615e-19,-1.8213564484137409e-17,1.1627161048505852e-17,8.5330522216267088e-18,2.8785224570775361e-18,1.0438972892047041e-19
4.194303e-09,-1.9090816133630267e-08,-1.5978801667903496e-17,-8.0351561569140288e-19,-4.1053657530669436e-17,-3.2580418577670316e-18,-1.4307018966240347e-17,1.0148728472031449e-17,4.4286251742433125e-19
8.388607e-09,-3.8181639691623476e-08,-6.3817576376705026e-17,-3.3103470070297539e-18,-1.0061222454219881e-16,-3.2322943864098845e-17,-7.3865542333183683e-17,3.7862553096593997e-17,1.8245427315670433e-18
9.999999999999999e-09,-4.5516068445912505e-08,-1.0055623455128068e-16,-5.2558891574045301e-18,-1.3415755702167825e-16,-4.2947184283921974e-17,-1.0741085782980618e-16,5.8631899554883515e-17,2.8968641530558307e-18
1.6777215e-08,-7.6363286177081051e-08,-2.5507209057522346e-16,-1.3438471923067531e-17,-2.7524288161236403e-16,-8.7630725939626496e-17,-2.4849611098696844e-16,1.4598384695811907e-16,7.4068454870673757e-18
3.3554431e-08,-1.5272657662588094e-07,-1.0198889228479404e-15,-5.4152567663517956e-17,-8.465582760464025e-16,-1.8695818007524236e-16,-8.1981132886933825e-16,5.7300098469928303e-16,2.9847218860087988e-17
6.7108863e-08,-3.054531474350203e-07,-4.0787533614571378e-15,-2.1741211916330324e-16,-2.8774052983747481e-15,-3.4046047317679861e-16,-2.8506580048714516e-15,2.2701332298384368e-15,1.1983102403852381e-16
9.999999999999998e-08,-4.5516068805342143e-07,-1.0075152593912493e-14,-5.3787182019717851e-16,-6.6094237075998577e-15,-4.0240765286423408e-16,-6.5826760821096474e-15,5.5865800615143133e-15,2.9645896766473149e-16
1.34217727e-07,-6.1090624869946419e-07,-1.6313401803430998e-14,-8.712564732630143e-16,-1.0491963769101889e-14,-4.6685321585574664e-16,-1.0465215798221497e-14,9.0367875938805893e-15,4.8021076396726899e-16
2.01326591e-07,-9.1635935611184475e-07,-3.4664968606368186e-14,-1.8524260140445896e-15,-2.1659387560382278e-14,-4.1263275604287363e-16,-2.1632638982976161e-14,1.9175831276514405e-14,1.021002597962475e-15
2.68435455e-07,-1.2218124696721608e-06,-5.9133451634497474e-14,-3.1609206272206e-15,-3.6379677001716606e-14,-1.7779770539755794e-16,-3.6352927703742587e-14,3.268726292045815e-14,1.7422064630322886e-15
4.0265318300000003e-07,-1.8327188351428024e-06,-1.223432221910322e-13,-6.54166835447693e-15,-7.4110279838638085e-14,7.1331068450652315e-16,-7.4083529284770242e-14,6.75790316366283e-14,3.6055755982691868e-15
5.36870911e-07,-2.4436252651739656e-06,-2.0866132937603472e-13,-1.1158976740962919e-14,-1.252628247866077e-13,2.2867534172986651e-15,-1.2523607263219043e-13,1.1521092564526479e-13,6.1505008955404737e-15
6.71088639e-07,-3.054531733119803e-06,-3.1899396804616993e-13,-1.7061337589770094e-14,-1.9036366341304039e-13,4.5692978927906632e-15,-1.9033690941198292e-13,1.7608254934486932e-13,9.4037096220927557e-15
9.39524095e-07,-4.2763447472283531e-06,-6.1291097339544028e-13,-3.2785865655754162e-14,-3.631119938222537e-13,1.1297420483652336e-14,-3.630852378766957e-13,3.382110561582881e-13,1.8070609995635882e-14
9.999999999999997e-07,-4.5516172224469257e-06,-6.9262197550472059e-13,-3.7050551639439283e-14,-4.0986844617605759e-13,1.3211672261480921e-14,-4.0984168958273018e-13,3.8217676457223768e-13,2.0421180324364078e-14
1.4763950070000002e-06,-6.7199710804204682e-06,-1.4940196047778662e-12,-7.9928472740421151e-14,-8.7895110025226114e-13,3.3414034283190986e-14,-8.7892433585839367e-13,8.2415670634675975e-13,4.4054238210763584e-14
2.5501368310000002e-06,-1.1607224933391289e-05,-4.4304624963311857e-12,-2.3704820595030991e-13,-2.592656154716853e-12,1.1232437117181588e-13,-2.5926293697884928e-12,2.4434239533955836e-12,1.30654048508935e-13
4.697620479e-06,-2.1381737371414315e-05,-1.5000689452365923e-11,-8.0264922183339012e-13,-8.7484435440746874e-12,4.088812040170935e-13,-8.748416710692619e-12,8.2717041371327249e-12,4.4239682238487581e-13
6.845104127e-06,-3.1156256111048132e-05,-3.1834270104624348e-11,-1.7034113922278062e-12,-1.8542217785595178e-11,8.9044154787741484e-13,-1.8542190813842453e-11,1.7553106576967395e-11,9.3887064723623265e-13
9.999999999999997e-06,-4.5516374282958443e-05,-6.7924845962126685e-11,-3.6346305972787929e-12,-3.9528816476252734e-11,1.9335022000452654e-12,-3.9528789192796676e-11,3.745162841615056e-11,2.0033023260767467e-12
1.1140071423e-05,-5.0705312481069032e-05,-8.4291477842776166e-11,-4.5104184136972716e-12,-4.9043795673521254e-11,2.4086463801580731e-12,-4.9043768245693719e-11,4.6475270330099174e-11,2.4860110185865222e-12
1.50055419894e-05,-6.8299484745851618e-05,-1.5292358866445359e-10,-8.1829734343351155e-12,-8.8937227300976607e-11,4.4078574156577283e-12,-8.893719886060131e-11,8.4314870518967298e-11,4.5102161988342137e-12
1.88710125558e-05,-8.5893677406685689e-05,-2.4184857282753245e-10,-1.2941429589762061e-11,-1.4061766122689287e-10,7.0066109133466629e-12,-1.4061763077345776e-10,1.3334237026843716e-10,7.1329384073125242e-12
2.2736483122200002e-05,-0.0001034878904622661,-3.5106604674365394e-10,-1.8785766355497808e-11,-2.0408489274634417e-10,1.0204910036371936e-11,-2.0408486025468392e-10,1.9355755894798739e-10,1.0354166332049148e-11
2.66019536886e-05,-0.00012108212391166092,-4.8057561047945683e-10,-2.571596233241436e-11,-2.7933869814277939e-10,1.4002747501312276e-11,-2.7933866291125076e-10,2.6496021631824218e-10,1.41738881791083e-11
3.43328948214e-05,-0.00015627065198398776,-8.0046991499494465e-10,-4.2833873469900493e-11,-4.6520540099302487e-10,2.3396997406116997e-11,-4.6520535832523854e-10,4.4132733380172966e-10,2.3608781427302531e-11
4.2063835954199994e-05,-0.0001914592616190736,-1.2015280401544787e-09,-6.4294978605128678e-11,-6.9821578034157536e-10,3.5189236584093306e-11,-6.982157238928331e-10,6.6244182379330169e-10,3.5437516524977701e-11
4.979477708699999e-05,-0.00022664795281276138,-1.6837465017173817e-09,-9.0099091306312105e-11,-9.783678005744661e-10,4.9379322054569549e-11,-9.7836772516466612e-10,9.2830176494161366e-10,4.9659990725653117e-11
5.752571821979999e-05,-0.00026183672555996301,-2.2471219284464887e-09,-1.202460311884778e-10,-1.3056594923900149e-09,6.5967111461398075e-11,-1.3056593905696216e-09,1.2389053009655381e-09,6.6276104617574961e-11
6.525665935259998e-05,-0.00029702557985487947,-2.8916510280044064e-09,-1.5473562208863271e-10,-1.6800889308351467e-09,8.4952467573890242e-11,-1.6800887960448371e-09,1.594250614181526e-09,8.5285761117900275e-11
8.071854161819999e-05,-0.00036740353325188783,-4.4241362175861709e-09,-2.3674093613932888e-10,-2.5703412264068237e-09,1.3011466010565304e-10,-2.5703409973390091e-09,2.4391478244024641e-09,1.3048469846494588e-10
9.999999999999998e-05,-0.0004551915789330575,-6.790207982466026e-09,-3.6335263152129524e-10,-3.9448068026909711e-09,1.9987511456429741e-10,-3.9448063919836258e-09,3.7436206395014552e-09,2.0026937286437215e-10
0.00011164230614939999,-0.00050816041947623555,-8.4626818538425349e-09,-4.5284899248135602e-10,-4.9163421526101534e-09,2.4919993177440155e-10,-4.9163415978292519e-09,4.6656954798277333e-09,2.4959715752355231e-10
0.0001425660706806,-0.00064891861028967812,-1.3799264579425163e-08,-7.3841690234018728e-10,-8.0163011165887884e-09,4.0662968103234228e-10,-8.01630000464609e-09,7.6078792889059121e-09,4.069938650129929e-10
0.00017348983521179998,-0.00078967810496700724,-2.0433713155992126e-08,-1.0934355033984353e-09,-1.1870118164859239e-08,6.0239685458949297e-10,-1.1870116188362486e-08,1.1265604851438967e-08,6.0266977285369211e-10
0.00020441359974299997,-0.00093043890300810298,-2.836583131590555e-08,-1.5178942940152899e-09,-1.6477678816416445e-08,8.3649370401003214e-10,-1.6477675626760043e-08,1.5638764036555692e-08,8.3661909523086161e-10
0.0002662611288054,-0.0012119644051212003,-4.8122520871002106e-08,-2.5751027209356873e-09,-2.7953706941143313e-08,1.4196534635159614e-09,-2.7953699874900828e-08,2.6531077240285717e-08,1.4193216122959402e-09
0.0003281086578678,-0.0014934951142382496,-7.3067584600511356e-08,-3.9099486182250058e-09,-4.244336655926007e-08,2.156043327749326e-09,-4.2443353478695424e-08,4.0283855351470838e-08,2.155049873473228e-09
0.00038995618693019995,-0.0017750310282525215,-1.0319924303472851e-07,-5.5223367715163338e-09,-5.9945621640910498e-08,3.0455983553276699e-09,-5.9945599696439503e-08,5.6896117737377971e-08,3.043751433747545e-09
0.0004518037159925999,-0.0020565721445717782,-1.3851577166717044e-07,-7.4121749075256329e-09,-8.0459468506923884e-08,4.0882569316481891e-09,-8.0459434245211028e-08,7.6366914451966157e-08,4.0853754758005404e-09
0.0005754987741174,-0.0026196699717531361,-2.2469677467707448e-07,-1.2023844511793657e-08,-1.3051806091797771e-07,6.6326540869444491e-09,-1.3051798926370395e-07,1.2388043809304339e-07,6.6271946547119024e-09
0.0006991938322421999,-0.0031827885716330562,-3.3159719131805722e-07,-1.7744240313636253e-08,-1.9261134863770897e-07,9.788776605839967e-09,-1.9261121918319573e-07,1.828170419330203e-07,9.7801126023892368e-09
0.0009465839484917999,-0.0043090879898214259,-6.0750314943504289e-07,-3.2508368429959794e-08,-3.5287114711844129e-07,1.7934464722781816e-08,-3.5287082181224866e-07,3.3493022287854507e-07,1.7917680690598888e-08
0.0009999999999999998,-0.0045557590724435082,-6.7845571000564167e-07,-3.6305143124230917e-08,-3.9408381124791347e-07,2.002918559814693e-08,-3.9408342580741645e-07,3.7404797635603374e-07,2.0010356064687393e-08
0.0011679588831313738,-0.0053170176121951612,-9.2452592114514588e-07,-4.9472718548080165e-08,-5.3701305407062161e-07,2.7293745696931063e-08,-5.3701243116543156e-07,5.0971207467613847e-07,2.726795614574955e-08
0.0013893338177709475,-0.0063250133906019761,-1.3077080414977619e-06,-6.9977353310713472e-08,-7.5958306435574989e-07,3.8605852059400833e-08,-7.5958199560274347e-07,7.2096913896055127e-07,3.8569547694282902e-08
0.0016107087524105212,-0.0073330751842486542,-1.7569733606319469e-06,-9.401819816410896e-08,-1.0205369882858664e-06,5.1868467305866448e-08,-1.0205352926275865e-06,9.686594597520987e-07,5.1820214759378992e-08
0.001832083687050095,-0.00834120285263216,-2.2722458185389709e-06,-1.2159118336067274e-07,-1.319830693744123e-06,6.7079304827891927e-08,-1.319828157329611e-06,1.25274113115534e-06,6.7017719970134904e-08
0.0020534586216896687,-0.0093493962555389106,-2.8534494385822319e-06,-1.5269224361241531e-07,-1.6574201138074416e-06,8.4236095258192042e-08,-1.6574164837477433e-06,1.5731722995751845e-06,8.4159828874306447e-08
