Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: H2(3)+Si(14)=SiH2(2),dln[SiH2(2)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH2(2)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si(14)],dln[SiH2(2)]/dG[SiH3SiH(5)],dln[SiH2(2)]/dG[H2Si2(22)]
1e-15,0.99999999999999523,-0.069695527666219018,9.5953096680382429e-30,-1.0961078681499195e-34,-1.1151452518049102e-10,-0.038414141781381035,0.038414141669866515,0.038414141669866515,2.1633147287513482e-26,6.0414267975928778e-35
3.0000000000000002e-15,0.99999999999999079,-0.12940460277711824,4.5518561458259769e-29,-7.6008070853560004e-34,-2.0705048541925123e-10,-0.071324042226211734,0.071324042019161246,0.071324042019161246,6.7426602845439193e-26,4.1893431143897141e-34
7e-15,0.99999999999997802,-0.27423521663078987,6.8280895462320208e-28,-3.1535633428011734e-32,-4.3878296060267569e-10,-0.15115045177007702,0.15115045133129407,0.15115045133129407,3.7720691044774022e-25,1.7381520980315358e-32
1.5e-14,0.99999999999995037,-0.47547726875640928,5.4214704368588504e-27,-5.1400274323788235e-31,-7.6077509754329015e-10,-0.26206920052756094,0.26206919976678583,0.26206919976678583,1.4294499663729893e-24,2.8330331067753733e-31
3.1e-14,0.99999999999989109,-0.70243102946836777,3.632120405944076e-26,-7.0120681888931225e-30,-1.1239065883151082e-09,-0.38715949302896152,0.38715949190505505,0.38715949190505505,4.6038462606143214e-24,3.8648472532118461e-30
6.300000000000001e-14,0.99999999999976086,-0.88379675382128497,2.1329898429246182e-25,-8.3994596903875917e-29,-1.4140961213700342e-09,-0.48712298972478596,0.48712298831068984,0.48712298831068984,1.2887316690724803e-23,4.6295367744266802e-29
1.2700000000000001e-13,0.9999999999994803,-0.97299344703609336,1.1064264914898587e-24,-8.8855985623898978e-28,-1.5568129815659124e-09,-0.53628560509364509,0.53628560353683208,0.53628560353683208,3.1670937903803758e-23,4.8974820065484156e-28
2.55e-13,0.99999999999890199,-0.99666525714315291,5.1595480501958365e-24,-8.4143716356652151e-27,-1.594688448252407e-09,-0.54933281630107633,0.54933281470638784,0.54933281470638784,6.986920429528487e-23,4.6377549654052587e-27
5.11e-13,0.99999999999773792,-0.99979298098934555,2.2361823972127907e-23,-7.3601569945510269e-26,-1.5996928810316039e-09,-0.55105672644716297,0.55105672484746981,0.55105672484746981,1.419985789600101e-22,4.0567018909589979e-26
1e-12,0.99999807022886422,-0.99998270232381992,8.9731027640129025e-23,-5.8926908638553263e-25,-1.599996438195591e-09,-0.55116129531241864,0.55116129371242195,0.55116129371242195,2.6089828763334571e-22,3.2478765757009901e-25
1.023e-12,0.99999999999540756,-0.99999364593664908,9.2899767473572588e-23,-6.1352353546276748e-25,-1.6000139481672959e-09,-0.55116732711257699,0.55116732551256287,0.55116732551256287,2.6649099463840808e-22,3.3815599043449799e-25
2.047e-12,0.9999999999907464,-0.99999990114784898,3.7664030294106654e-22,-4.9632017981543857e-24,-1.6000239534166011e-09,-0.55117077480252141,0.5511707732024973,0.5511707732024973,4.3685841074753406e-22,2.7355682836623672e-24
4.095e-12,0.99999999998142508,-0.99999999638308013,1.5003709320212206e-21,-3.9173845981629188e-23,-1.6000240993160001e-09,-0.55117082729340261,0.5511708256933785,0.5511708256933785,4.710063074405714e-22,2.1591438876969397e-23
8.191e-12,0.99999999996278133,-0.99999999709448417,5.8632146494871429e-21,-2.9984248625845335e-22,-1.6000240874945556e-09,-0.55117082768550785,0.55117082608548373,0.55117082608548373,-6.2663162090136004e-22,1.6526405326182605e-22
1e-11,0.99999999998331823,-0.9999999971238327,9.4829121197430165e-21,-7.1573020464813309e-22,-1.6000240818169117e-09,-0.55117082770168391,0.55117082610165991,0.55117082610165991,-2.0444480991077409e-21,3.9448874457097672e-22
1.6383e-11,0.99999999992549493,-0.99999999709710063,2.2254901589760356e-20,-2.1831770296402034e-21,-1.6000240615750612e-09,-0.55117082768694992,0.5511708260869258,0.5511708260869258,-7.0471692601050484e-21,1.2033009085219758e-21
