Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),[SiH4](3)
2e-15,0.0,0.0,0.0,0.0,0.5,0.5,6.2789023848819843e-41
4e-15,0.0,0.0,0.0,0.0,0.5,0.5,1.4949767583052342e-40
8e-15,0.0,0.0,0.0,0.0,0.5,0.5,3.1693507276070968e-40
1.6e-14,0.0,0.0,0.0,0.0,0.5,0.5,6.5180986662108212e-40
3.2e-14,0.0,0.0,0.0,0.0,0.5,0.5,1.3215594543418272e-39
6.4e-14,0.0,0.0,0.0,0.0,0.5,0.5,2.6610586297833173e-39
1.28e-13,0.0,0.0,0.0,0.0,0.5,0.5,5.3400569806662969e-39
2.56e-13,0.0,0.0,0.0,0.0,0.5,0.5,1.0698053682432257e-38
5.12e-13,0.0,0.0,0.0,0.0,0.5,0.5,2.1414047085964175e-38
1e-12,0.0,0.0,0.0,0.0,0.5,0.5,4.1841409511446892e-38
1.024e-12,0.0,0.0,0.0,0.0,0.5,0.5,4.2846033893028017e-38
2.048e-12,0.0,0.0,0.0,0.0,0.5,0.5,8.5710007507155689e-38
4.096e-12,0.0,0.0,0.0,0.0,0.5,0.5,1.7143795473541105e-37
8.192e-12,0.0,0.0,0.0,0.0,0.5,0.5,3.4289384919192174e-37
1e-11,0.0,0.0,0.0,0.0,0.5,0.5,4.1857555260436591e-37
1.6384e-11,0.0,0.0,0.0,0.0,0.5,0.5,6.8580563810494321e-37
3.2768e-11,0.0,0.0,0.0,0.0,0.5,0.5,1.371629215930986e-36
6.5536e-11,0.0,0.0,0.0,0.0,0.5,0.5,2.7432763715830718e-36
9.999999999999999e-11,0.0,0.0,0.0,0.0,0.5,0.5,4.1859169835335554e-36
1.31072e-10,0.0,0.0,0.0,0.0,0.5,0.5,5.4865706828872428e-36
2.62144e-10,0.0,0.0,0.0,0.0,0.5,0.5,1.0973159305495586e-35
5.24288e-10,0.0,0.0,0.0,0.0,0.5,0.5,2.194633655071227e-35
9.999999999999999e-10,0.0,0.0,0.0,0.0,0.5,0.5,4.1859331292825454e-35
1.048576e-09,0.0,0.0,0.0,0.0,0.5,0.5,4.3892691041145644e-35
2.097152e-09,0.0,0.0,0.0,0.0,0.5,0.5,8.778540002201238e-35
4.194304e-09,0.0,0.0,0.0,0.0,0.5,0.5,1.7557081798374585e-34
8.388608e-09,0.0,0.0,0.0,0.0,0.5,0.5,3.511416539072128e-34
9.999999999999999e-09,0.0,0.0,0.0,0.0,0.5,0.5,4.1859347438574436e-34
1.6777216e-08,0.0,0.0,0.0,0.0,0.5,0.5,7.0228332575414669e-34
3.3554432e-08,0.0,0.0,0.0,0.0,0.5,0.5,1.4045666694480146e-33
6.7108864e-08,0.0,0.0,0.0,0.0,0.5,0.5,2.8091333568357506e-33
9.999999999999998e-08,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349053149346e-33
1.34217728e-07,0.0,0.0,0.0,0.0,0.5,0.5,5.6182667316112224e-33
2.68435456e-07,0.0,0.0,0.0,0.0,0.5,0.5,1.1236533481162166e-32
5.36870912e-07,0.0,0.0,0.0,0.0,0.5,0.5,2.2473066980264051e-32
9.999999999999997e-07,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349214606825e-32
1.073741824e-06,0.0,0.0,0.0,0.0,0.5,0.5,4.494613397846782e-32
2.147483648e-06,0.0,0.0,0.0,0.0,0.5,0.5,8.9892267974875369e-32
4.294967296e-06,0.0,0.0,0.0,0.0,0.5,0.5,1.7978453596769047e-31
8.589934592e-06,0.0,0.0,0.0,0.0,0.5,0.5,3.5956907195332062e-31
9.999999999999997e-06,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349230752577e-31
1.7179869184e-05,0.0,0.0,0.0,0.0,0.5,0.5,7.1913814392458101e-31
3.4359738368e-05,0.0,0.0,0.0,0.0,0.5,0.5,1.4382762878671018e-30
6.8719476736e-05,0.0,0.0,0.0,0.0,0.5,0.5,2.876552575752143e-30
9.999999999999998e-05,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232367145e-30
0.000137438953472,0.0,0.0,0.0,0.0,0.5,0.5,5.7531051515222255e-30
0.000274877906944,0.0,0.0,0.0,0.0,0.5,0.5,1.150621030306239e-29
0.000549755813888,0.0,0.0,0.0,0.0,0.5,0.5,2.3012420606142723e-29
0.0009999999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232528608e-29
0.001099511627776,0.0,0.0,0.0,0.0,0.5,0.5,4.6024841212303382e-29
0.002199023255552,0.0,0.0,0.0,0.0,0.5,0.5,9.2049682424624701e-29
0.004398046511104,0.0,0.0,0.0,0.0,0.5,0.5,1.8409936484926734e-28
0.008796093022208,0.0,0.0,0.0,0.0,0.5,0.5,3.6819872969855262e-28
0.009999999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232544747e-28
0.017592186044416,0.0,0.0,0.0,0.0,0.5,0.5,7.3639745939712317e-28
0.035184372088832,0.0,0.0,0.0,0.0,0.5,0.5,1.4727949187942643e-27
0.070368744177664,0.0,0.0,0.0,0.0,0.5,0.5,2.9455898375885465e-27
0.09999999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232546369e-27
0.140737488355328,0.0,0.0,0.0,0.0,0.5,0.5,5.8911796751771116e-27
0.281474976710656,0.0,0.0,0.0,0.0,0.5,0.5,1.178235935035424e-26
0.562949953421312,0.0,0.0,0.0,0.0,0.5,0.5,2.3564718700708498e-26
0.9999999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232546528e-26
1.125899906842624,0.0,0.0,0.0,0.0,0.5,0.5,4.7129437401417019e-26
2.251799813685248,0.0,0.0,0.0,0.0,0.5,0.5,9.4258874802834061e-26
4.503599627370496,0.0,0.0,0.0,0.0,0.5,0.5,1.885177496056681e-25
9.007199254740993,0.0,0.0,0.0,0.0,0.5,0.5,3.7703549921133625e-25
9.999999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232546542e-25
18.014398509481985,0.0,0.0,0.0,0.0,0.5,0.5,7.540709984226724e-25
36.02879701896397,0.0,0.0,0.0,0.0,0.5,0.5,1.5081419968453442e-24
72.05759403792794,0.0,0.0,0.0,0.0,0.5,0.5,3.0162839936906874e-24
99.99999999999999,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232546479e-24
144.11518807585588,0.0,0.0,0.0,0.0,0.5,0.5,6.0325679873813682e-24
288.23037615171177,0.0,0.0,0.0,0.0,0.5,0.5,1.206513597476271e-23
576.4607523034235,0.0,0.0,0.0,0.0,0.5,0.5,2.4130271949525314e-23
999.9999999999999,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232545877e-23
1152.921504606847,0.0,0.0,0.0,0.0,0.5,0.5,4.8260543899050205e-23
2305.843009213694,0.0,0.0,0.0,0.0,0.5,0.5,9.6521087798098717e-23
4611.686018427388,0.0,0.0,0.0,0.0,0.5,0.5,1.9304217559619076e-22
9223.372036854777,0.0,0.0,0.0,0.0,0.5,0.5,3.8608435119235467e-22
9999.999999999998,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232539821e-22
18446.744073709553,0.0,0.0,0.0,0.0,0.5,0.5,7.7216870238460184e-22
36893.488147419106,0.0,0.0,0.0,0.0,0.5,0.5,1.5443374047687737e-21
73786.97629483821,0.0,0.0,0.0,0.0,0.5,0.5,3.0886748095358284e-21
99999.99999999999,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349232475519e-21
147573.95258967642,0.0,0.0,0.0,0.0,0.5,0.5,6.17734961906478e-21
295147.90517935285,0.0,0.0,0.0,0.0,0.5,0.5,1.2354699238102049e-20
590295.8103587057,0.0,0.0,0.0,0.0,0.5,0.5,2.4709398476094065e-20
999999.9999999999,0.0,0.0,0.0,0.0,0.5,0.5,4.1859349231868247e-20
1180591.6207174114,0.0,0.0,0.0,0.0,0.5,0.5,4.9418796951747982e-20
