Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4)
2e-15,0.0,0.0,0.0,0.0,0.49999999999999994,0.50000000000000011,1.8161189034293564e-17,4.0465176649422759e-17
4e-15,0.0,0.0,0.0,0.0,0.49999999999999978,0.50000000000000022,2.3969304446587146e-17,9.6154922212288828e-17
8e-15,0.0,0.0,0.0,0.0,0.4999999999999995,0.50000000000000033,2.4062040929362736e-17,2.3953544074472761e-16
1.2000000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999933,0.50000000000000044,2.3852850867201967e-17,3.7134449383835707e-16
2.0000000000000003e-14,0.0,0.0,0.0,0.0,0.49999999999999872,0.50000000000000056,2.383141943219098e-17,6.2150508452527092e-16
3.6000000000000004e-14,0.0,0.0,0.0,0.0,0.49999999999999772,0.50000000000000111,2.3829470604667403e-17,1.121785351857126e-15
6.800000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999578,0.50000000000000222,2.3829379937020557e-17,2.1223420795334816e-15
1.3200000000000002e-13,0.0,0.0,0.0,0.0,0.49999999999999178,0.50000000000000422,2.3829377803127397e-17,4.123455355684778e-15
2.6e-13,0.0,0.0,0.0,0.0,0.49999999999998379,0.50000000000000822,2.3829377777962528e-17,8.1256819037446837e-15
5.16e-13,0.0,0.0,0.0,0.0,0.4999999999999678,0.50000000000001621,2.3829377778004233e-17,1.6130134999813871e-14
1e-12,0.0,0.0,0.0,0.0,0.49999999999993749,0.5000000000000312,2.3829377778366175e-17,3.126355413456842e-14
1.028e-12,0.0,0.0,0.0,0.0,0.49999999999993577,0.5000000000000322,2.3829377778387117e-17,3.2139041191950922e-14
2.052e-12,0.0,0.0,0.0,0.0,0.49999999999987171,0.50000000000006417,2.382937777915376e-17,6.4156853576220905e-14
4.100000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999974365,0.50000000000012823,2.3829377780687062e-17,1.2819247834474446e-13
8.196000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999948747,0.50000000000025624,2.3829377783753657e-17,2.5626372788172594e-13
1e-11,0.0,0.0,0.0,0.0,0.49999999999937467,0.50000000000031275,2.382937778510428e-17,3.1267010829297539e-13
1.6388000000000003e-11,0.0,0.0,0.0,0.0,0.49999999999897521,0.50000000000051248,2.3829377789886854e-17,5.1240622695542667e-13
3.2772000000000005e-11,0.0,0.0,0.0,0.0,0.49999999999795058,0.50000000000102462,2.3829377802153246e-17,1.024691225101778e-12
6.554000000000001e-11,0.0,0.0,0.0,0.0,0.49999999999590145,0.50000000000204925,2.3829377826686035e-17,2.0492612213902819e-12
