Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
2e-15,0.0,0.0,0.0,0.0,0.49999999999999994,0.50000000000000011,1.8161189034293564e-17,4.0465176649422692e-17,6.5377294633103061e-32
4e-15,0.0,0.0,0.0,0.0,0.49999999999999978,0.50000000000000022,2.3969304446587146e-17,9.6154922212288631e-17,2.104251512204118e-31
8e-15,0.0,0.0,0.0,0.0,0.4999999999999995,0.50000000000000033,2.4062040929362736e-17,2.3953544074472692e-16,7.5169549716537982e-31
1.2000000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999933,0.50000000000000044,2.3852850867201967e-17,3.7134449383835579e-16,1.4237880434353223e-30
2.0000000000000003e-14,0.0,0.0,0.0,0.0,0.49999999999999872,0.50000000000000056,2.383141943219098e-17,6.2150508452526806e-16,2.8471286797065399e-30
3.6000000000000004e-14,0.0,0.0,0.0,0.0,0.49999999999999772,0.50000000000000111,2.3829470604667403e-17,1.1217853518571203e-15,5.6601450723586881e-30
6.800000000000001e-14,0.0,0.0,0.0,0.0,0.49999999999999578,0.50000000000000222,2.3829379937020557e-17,2.1223420795334705e-15,1.1272586489271305e-29
1.3200000000000002e-13,0.0,0.0,0.0,0.0,0.49999999999999178,0.50000000000000422,2.3829377803127397e-17,4.1234553556847559e-15,2.2494583262774534e-29
2.6e-13,0.0,0.0,0.0,0.0,0.49999999999998379,0.50000000000000822,2.3829377777962528e-17,8.1256819037446395e-15,4.4938262117758412e-29
5.16e-13,0.0,0.0,0.0,0.0,0.4999999999999678,0.50000000000001621,2.3829377778004233e-17,1.6130134999813782e-14,8.9825602434875367e-29
1e-12,0.0,0.0,0.0,0.0,0.49999999999993749,0.5000000000000312,2.3829377778366175e-17,3.1263554134568249e-14,1.7469072976439895e-28
1.028e-12,0.0,0.0,0.0,0.0,0.49999999999993577,0.5000000000000322,2.3829377778387117e-17,3.2139041191950746e-14,1.7960028258511523e-28
2.052e-12,0.0,0.0,0.0,0.0,0.49999999999987171,0.50000000000006417,2.382937777915376e-17,6.4156853576220551e-14,3.5914964287879744e-28
4.100000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999974365,0.50000000000012823,2.3829377780687062e-17,1.2819247834474375e-13,7.1824836346595348e-28
8.196000000000001e-12,0.0,0.0,0.0,0.0,0.49999999999948747,0.50000000000025624,2.3829377783753657e-17,2.5626372788172453e-13,1.4364458046396211e-27
1e-11,0.0,0.0,0.0,0.0,0.49999999999937467,0.50000000000031275,2.382937778510428e-17,3.1267010829297373e-13,1.7527612792184722e-27
1.6388000000000003e-11,0.0,0.0,0.0,0.0,0.49999999999897521,0.50000000000051248,2.3829377789886854e-17,5.1240622695542384e-13,2.8728406869843825e-27
3.2772000000000005e-11,0.0,0.0,0.0,0.0,0.49999999999795058,0.50000000000102462,2.3829377802153246e-17,1.0246912251017725e-12,5.7456304516636031e-27
6.554000000000001e-11,0.0,0.0,0.0,0.0,0.49999999999590145,0.50000000000204925,2.3829377826686035e-17,2.0492612213902706e-12,1.1491209980980834e-26
9.999999999999999e-11,0.0,0.0,0.0,0.0,0.49999999999374656,0.50000000000312683,2.3829377852485598e-17,3.1267356498513381e-12,1.7533466773504993e-26
1.3107600000000002e-10,0.0,0.0,0.0,0.0,0.49999999999180322,0.5000000000040985,2.3829377875751621e-17,4.0984012139504724e-12,2.2982369039450468e-26
2.6214800000000005e-10,0.0,0.0,0.0,0.0,0.49999999998360667,0.50000000000819678,2.3829377973882777e-17,8.1966811990036917e-12,4.5964687155730426e-26
5.242920000000001e-10,0.0,0.0,0.0,0.0,0.49999999996721356,0.50000000001639333,2.3829378170145097e-17,1.639324116884139e-11,9.1929323385653068e-26
9.999999999999999e-10,0.0,0.0,0.0,0.0,0.49999999993746524,0.50000000003126732,2.3829378526298785e-17,3.126739106308224e-11,1.7534052169328124e-25
1.0485800000000001e-09,0.0,0.0,0.0,0.0,0.49999999993442734,0.50000000003278644,2.3829378562669726e-17,3.278636110744186e-11,1.8385859583494927e-25
